REG NO,FIRST NAME,LAST NAME,REG STATUS
2454,Craig,Dalgleish,Registered
2292,Gordon,Dalkie,Registered
3200,Ben,Dallimore,Registered
2201,Richard,Dalman,Registered
4271,Nicholas,Dalton,Registered
5309,Michael,Dalton,Registered
,,,
2714,Andrew,Daly,Registered
5046,Tim,Daniel,Registered
2293,Richard,Daniels,Registered
1886,John,D'Anvers,Registered
5184,Stephanie,Darlington,Registered
2316,Peter,Davidson,Registered
1890,Brian,Davies,Registered
2679,Michael,Davies,Registered
2696,Hamish,Davies,Registered
4283,Michael,Davies,Registered
2138,Tony,Davis,Registered
2340,Ken,Davis,Registered
2389,Michael,Davis,Registered
2761,Michael,Davis,Registered
5483,Emma,Davis,Registered
5953,Polly,Dawes,Registered
2858,Lisa,Day,Registered
1388,Greg,Dayman,Registered
5535,Amanda,Daysh,Registered
2923,Andre,De Graaf,Registered
5084,Koos,de Keijzer,Registered
3105,David,De La Mare,Registered
2794,Carl,de Leeuw,Registered
1837,Mark,de Lisle,Registered
2236,Pat,de Pont,Registered
,,,
3053,Stephen,de Vrij,Registered
2302,Claire,Deacon,Registered
3401,Katherine,Dean,Registered
5691,Joshua,Dean,Registered
5987,Amy,Degenhart,Registered
1494,Malcolm,Deighton,Registered
1428,David,Delamare,Registered
6131,Ed,Delamare,Registered
6003,Sarah,Delamore,Registered
2699,Ewan,Dellow,Registered
2512,Marko,den Breems,Registered
2272,Murray,Denby,Registered
5195,Thomas,Denhardt,Registered
2585,John,Dennehy,Registered
6234,Nicholas,Denton,Registered
5499,Edwin,Derricutt,Registered
5621,David,Devenney,Registered
4867,Louis,Deverson,Registered
2692,Tim,Devine,Registered
6213,Sunita,Devireddy,Registered
1828,Russell,Devlin,Registered
3152,Tim,Dewar,Registered
5841,Mario Andre,Dias E Santos Luz,Registered
3365,Manuel,Diaz,Registered
1885,Paul,Dickens,Registered
,,,
5857,Katie,Dickens,Registered
933,Bruce,Dickson,Registered
2039,Ron,Dijkmans,Registered
4309,Michael,Dillon,Registered
2660,Peter,Diprose,Registered
2626,Ricky,Do,Registered
1975,Alan,Dobson,Registered
2096,Simon,Dodd,Registered
2173,Richard,Dodd,Registered
3487,Rachel,Dodd,Registered
1884,Bill,Dodds,Registered
4929,Anita,Doerr,Registered
5965,Gerard,Dombroski,Registered
5139,Nicolau,Domingues,Registered
3402,Sam,Donald,Registered
2818,Andrew,Donaldson,Registered
5801,Gavin,Donaldson,Registered
2448,Nigel,Dong,Registered
3208,Scott,Donnell,Registered
5949,Catherine,Doo,Registered
5213,Chris,Dopheide,Registered
5710,Liliana,Dori,Registered
2924,Tim,Dorrington,Registered
1630,Chris,Doudney,Registered
2051,Paul,Dougan,Registered
,,,
3706,Ursula,Dougherty,Registered
6173,Callum,Dowie,Registered
3428,Roger,Dowling,Registered
2910,James,Downey,Registered
5517,Matthew,Downs,Registered
1955,Rose,Dowsett,Registered
2203,Mike,Dowsett,Registered
2451,Max,Drake,Registered
2798,Peta,Drayton,Registered
